project,street,type,district,segment,tenure,commence,sale,area,price,level,date
PARKVIEW APARTMENTS,BUKIT BATOK STREET 25,Apartment,23,OCR,99 years,1994.0,Resale,979.52,985397.12,06 to 10,Dec-24
VIIO @ BALESTIER,BALESTIER ROAD,Apartment,12,RCR,freehold,,Resale,559.73,1018148.87,06 to 10,Dec-24
RIVERSOUND RESIDENCE,SENGKANG EAST AVENUE,Condominium,19,OCR,99 years,2011.0,Resale,1291.68,1720517.76,01 to 05,Dec-24
BARTLEY RIDGE,MOUNT VERNON ROAD,Condominium,13,RCR,99 years,2012.0,Resale,850.36,1601227.88,16 to 20,Dec-24
CLAVON,CLEMENTI AVENUE 1,Apartment,5,OCR,99 years,2019.0,Sub Sale,527.44,1090218.4800000002,26 to 30,Dec-24
THE VERANDAH RESIDENCES,PASIR PANJANG ROAD,Apartment,5,RCR,freehold,,Resale,936.47,1870130.59,01 to 05,Dec-24
GUILLEMARD EDGE,LORONG 30 GEYLANG,Apartment,14,RCR,freehold,,Resale,409.03,679807.86,06 to 10,Dec-24
THE RAINTREE,BUKIT DRIVE,Condominium,21,OCR,99 years,2003.0,Resale,1140.98,1674958.64,01 to 05,Dec-24
ESTIQUE,ROSE LANE,Apartment,15,RCR,freehold,,Resale,1410.08,2130630.88,01 to 05,Dec-24
JEWEL @ BUANGKOK,COMPASSVALE BOW,Condominium,19,OCR,99 years,2012.0,Resale,1140.98,2059468.9,06 to 10,Dec-24
THE TAPESTRY,TAMPINES STREET 86,Condominium,18,OCR,99 years,2017.0,Resale,602.78,1054865.0,11 to 15,Dec-24
THE TRE VER,POTONG PASIR AVENUE 1,Condominium,13,RCR,99 years,2018.0,Resale,495.14,900164.52,11 to 15,Dec-24
ONE EIGHTIES RESIDENCES,JOO CHIAT TERRACE,Apartment,15,RCR,freehold,,Resale,785.77,1500034.93,01 to 05,Dec-24
PARC CLEMATIS,JALAN LEMPENG,Apartment,5,OCR,99 years,2019.0,Sub Sale,893.41,1430349.41,21 to 25,Dec-24
OUE TWIN PEAKS,LEONIE HILL ROAD,Condominium,9,CCR,99 years,2010.0,Resale,1603.84,3849216.0,16 to 20,Dec-24
