country_code,country_name,expectancy,gdp,total_health,private_health,military,hospital_beds,dpt_coverage,internet
ROU,Romania,76.40487804878049,18244.418687632093,5.70901489,24.354232720830602,1.60357956167259,68.9,79.0,89.20335498
RWA,Rwanda,67.785,1061.0578815407637,5.12708998,15.458459205477176,1.2523162074359302,18.98,94.0,28.80579948
SAU,Saudi Arabia,78.732,36156.85625001725,5.68722248,19.735034734746385,7.28424248969983,22.4,97.0,100.0
SGP,Singapore,83.09756097560977,86382.59004992525,4.49163246,41.98495406791174,2.83014132029943,24.9,98.0,94.28518987
SLV,El Salvador,72.099,5319.719526868796,9.28738594,39.08553965572629,1.33693500391086,12.0,96.0,62.61989975
SRB,Serbia,76.14146341463415,12281.707946166956,8.03133774,34.3605192069272,2.20807318692135,56.1,93.0,85.35746686
SVK,Slovakia,78.11951219512196,24614.87346427939,7.35262203,21.096813712180566,1.83861085562872,57.0,96.0,87.2131343
SVN,Slovenia,81.92926829268292,32660.475358134645,9.30008888,26.800859211281384,1.32131919558764,44.3,89.0,90.37794678
SWE,Sweden,83.30975609756099,54950.28347256223,11.152915,14.094718382367349,1.50126036606591,21.4,94.0,95.70327461
THA,Thailand,76.412,7210.541308326855,4.53787661,21.972886322049742,1.1309417952786,21.0,92.0,89.53525238
TJK,Tajikistan,71.79,1178.4799006024875,7.43789911,60.69450512548288,2.39642126155182,46.7,96.0,54.41550064
TTO,Trinidad and Tobago,73.49,18308.453629857464,7.52568626,47.74651471944021,0.959389724160016,30.2,96.0,81.9681015
TUR,Türkiye,77.156,13375.094728286427,4.27524424,23.06586801039299,1.71991880187465,28.5,99.0,85.96074155
TZA,"Tanzania, United Republic of",66.995,1224.00219726563,3.05201221,28.112099625423625,1.210113658261,7.0,83.0,28.43190002
URY,Uruguay,78.138,23378.639973351612,9.01887608,27.217114973831926,2.11561237275002,24.3,95.0,90.92590332
USA,United States,78.38536585365854,82586.78477078943,16.69414902,44.99767651179339,3.304441637598,28.7,94.0,93.52559662
VEN,"Venezuela, Bolivarian Republic of",72.514,3617.4703839652807,3.77611423,92.2232268632463,0.5007044976434459,8.7,54.0,76.33190155
ZAF,South Africa,66.139,6034.272089646732,8.90966797,36.25877770967868,0.754561053349382,23.0,79.0,78.33670044
ZMB,Zambia,66.349,1330.7278057670908,5.97841072,11.376452380088907,1.33879038934617,20.0,90.0,16.45070076
ZWE,Zimbabwe,62.775,2195.225020101743,2.92601609,22.203857430630574,0.209793581326229,17.0,90.0,38.67480087
